repo	title	subtitle	tag1	tag2	tag3	title_size
any-gpu	ANY-GPU	Tensor engine that runs on every GPU. WGSL once, runs everywhere.	RUST	WGPU	ZERO VENDOR LOCK-IN	100
approuter	APPROUTER	Central reverse proxy routing every product through one Cloudflare tunnel.	RUST	CLOUDFLARE	SINGLE BINARY	100
atsisbroken	ATSISBROKEN	Local-first ATS-busting Chromium driver. No accounts. No cloud.	RUST	CDP	LOCAL-FIRST	96
call-shield	CALL SHIELD	On-device call screening. No audio leaves the device.	RUST	ON-DEVICE	PUBLIC DOMAIN	100
cochranblock	COCHRANBLOCK	Corporate portfolio site with embedded admin panel. Apex of the network.	RUST	AXUM	ANTI-FOUNDER	88
exopack	EXOPACK	Browser-isolated visual regression testing. Zero flake. Receipts attached.	RUST	HEADLESS CHROMIUM	CRATES.IO	104
forge-engine	FORGE ENGINE	2D-first Rust game engine. Desktop + web from one source. Signed PWA games.	RUST	WGPU	SIGNED PWA	100
for-tanner	R8R	n8n in Rust. One 8MB static binary. 585 nodes registered.	RUST	WORKFLOW	AIR-GAP READY	120
free-payroll-system	FREE PAYROLL	Local-first payroll. No SaaS. No per-employee pricing. Forever.	RUST	LOCAL-FIRST	UNLICENSE	100
ghost-fabric	GHOST FABRIC	Sovereign edge intelligence over sub-GHz LoRa cognitive mesh.	RUST	LORA 915MHZ	EDGE AI	96
header-writer	HEADER-WRITER	Post-AI source-header injector. Unlicense + contributors. Receipts.	RUST	PROVENANCE	PRE-COMMIT	88
illbethejudgeofthat	ILL BE THE JUDGE	Pro se custody case builder. Email-to-PDF pipeline. Court-ready exhibits.	RUST	PRO SE	FAMILY COURT	72
kova	KOVA	Local-first augment engine. Agentic tool loop. 5-node SSH swarm.	RUST	LOCAL LLM	ZERO CLOUD	120
oakilydokily	OAKILYDOKILY	Client waiver and resume site with interactive WASM mural.	RUST	LEPTOS	WASM	88
pixel-forge	PIXEL FORGE	Image, mural, and asset forging pipeline. WASM-first.	RUST	WASM	IMAGE PIPELINE	104
pocket-server	POCKET SERVER	Your website lives on your phone. No hosting bill. Ever.	RUST	ANDROID	ZERO CLOUD	96
provenance-docs	PROVENANCE	Commit-integrated documentation framework for AI-piloted development.	RUST	FEDERAL	CDRL-MAPPED	104
r8r	R8R	n8n in Rust. One 8MB static binary. 585 nodes registered.	RUST	WORKFLOW	AIR-GAP READY	120
rogue-repo	ROGUE REPO	ISO 8583 payment engine. AES-256-GCM PAN vault. Append-only ledger.	RUST	ISO 8583	FINTECH	100
runsible	RUNSIBLE	Ansible reimagined in Rust. TOML-native. ~10ms cold start.	RUST	TOML	14-CRATE WORKSPACE	104
tmux-harness	TMUX HARNESS	LangChain is dead. tmux is free. AI fleet orchestration.	RUST	TMUX	AGENT FLEET	96
whobelooking	WHOBELOOKING	Visitor intelligence. IP source to company ID to threat report.	RUST	rDNS + WHOIS	INTELLIGENCE	96
whyyoulying	WHYYOULYING	Labor Category Fraud and Ghost Billing detection for DoD IG and FBI.	RUST	DODI 5505	IG TRADECRAFT	96
wowasticker	WOWASTICKER	Offline-first mobile student goals app. On-device AI dictation.	RUST	OFFLINE-FIRST	ON-DEVICE AI	96
